player,round,hole,strokes,par,yds,score
"Nicolas, COUSIN",1,8,4,3,76,1
"Nicolas, COUSIN",1,9,2,5,167,-3
"Nicolas, COUSIN",1,10,4,4,198,0
"Nicolas, COUSIN",1,11,2,4,178,-2
"Nicolas, COUSIN",1,12,6,5,216,1
"Nicolas, COUSIN",1,13,3,4,273,-1
"Nicolas, COUSIN",1,14,4,4,193,0
"Nicolas, COUSIN",1,15,3,4,181,-1
"Nicolas, COUSIN",1,16,3,4,165,-1
"Nicolas, COUSIN",1,17,3,4,175,-1
"Nicolas, COUSIN",1,18,5,3,64,2
"Garcia, Nicolas",1,1,6,5,153,1
"Garcia, Nicolas",1,2,3,4,164,-1
"Garcia, Nicolas",1,3,4,4,202,0
"Garcia, Nicolas",1,4,4,4,174,0
"Garcia, Nicolas",1,5,3,3,99,0
"Garcia, Nicolas",1,6,4,4,137,0
"Garcia, Nicolas",1,7,4,3,89,1
"Garcia, Nicolas",1,8,3,3,76,0
"Garcia, Nicolas",1,9,4,5,167,-1
"Garcia, Nicolas",1,10,3,4,198,-1
"Garcia, Nicolas",1,11,5,4,178,1
"Garcia, Nicolas",1,12,5,5,216,0
"Garcia, Nicolas",1,13,3,4,273,-1
"Garcia, Nicolas",1,14,3,4,193,-1
"Garcia, Nicolas",1,15,3,4,181,-1
"Garcia, Nicolas",1,16,3,4,165,-1
"Garcia, Nicolas",1,17,4,4,175,0
"Garcia, Nicolas",1,18,3,3,64,0
"Clarke, Benjamin",1,1,4,5,153,-1
"Clarke, Benjamin",1,2,3,4,164,-1
"Clarke, Benjamin",1,3,4,4,202,0
"Clarke, Benjamin",1,4,3,4,174,-1
"Clarke, Benjamin",1,5,3,3,99,0
"Clarke, Benjamin",1,6,4,4,137,0
"Clarke, Benjamin",1,7,3,3,89,0
"Clarke, Benjamin",1,8,4,3,76,1
"Clarke, Benjamin",1,9,3,5,167,-2
"Clarke, Benjamin",1,10,5,4,198,1
"Clarke, Benjamin",1,11,2,4,178,-2
"Clarke, Benjamin",1,12,7,5,216,2
"Clarke, Benjamin",1,13,3,4,273,-1
"Clarke, Benjamin",1,14,4,4,193,0
"Clarke, Benjamin",1,15,3,4,181,-1
"Clarke, Benjamin",1,16,6,4,165,2
"Clarke, Benjamin",1,17,3,4,175,-1
"Clarke, Benjamin",1,18,5,3,64,2
"Christopher, BUAILLON",1,1,5,5,153,0
"Christopher, BUAILLON",1,2,3,4,164,-1
"Christopher, BUAILLON",1,3,4,4,202,0
"Christopher, BUAILLON",1,4,4,4,174,0
"Christopher, BUAILLON",1,5,3,3,99,0
"Christopher, BUAILLON",1,6,3,4,137,-1
"Christopher, BUAILLON",1,7,3,3,89,0
"Christopher, BUAILLON",1,8,3,3,76,0
"Christopher, BUAILLON",1,9,4,5,167,-1
"Christopher, BUAILLON",1,10,6,4,198,2
"Christopher, BUAILLON",1,11,4,4,178,0
"Christopher, BUAILLON",1,12,5,5,216,0
"Christopher, BUAILLON",1,13,3,4,273,-1
"Christopher, BUAILLON",1,14,6,4,193,2
"Christopher, BUAILLON",1,15,3,4,181,-1
"Christopher, BUAILLON",1,16,4,4,165,0
"Christopher, BUAILLON",1,17,3,4,175,-1
"Christopher, BUAILLON",1,18,3,3,64,0
"Mancino, David",1,1,5,5,153,0
"Mancino, David",1,2,4,4,164,0
"Mancino, David",1,3,4,4,202,0
"Mancino, David",1,4,4,4,174,0
"Mancino, David",1,5,3,3,99,0
"Mancino, David",1,6,4,4,137,0
"Mancino, David",1,7,3,3,89,0
"Mancino, David",1,8,3,3,76,0
"Mancino, David",1,9,4,5,167,-1
"Mancino, David",1,10,3,4,198,-1
"Mancino, David",1,11,3,4,178,-1
"Mancino, David",1,12,5,5,216,0
"Mancino, David",1,13,4,4,273,0
"Mancino, David",1,14,4,4,193,0
"Mancino, David",1,15,3,4,181,-1
"Mancino, David",1,16,4,4,165,0
"Mancino, David",1,17,4,4,175,0
"Mancino, David",1,18,5,3,64,2
"Mazzer, Fabio",1,1,4,5,153,-1
"Mazzer, Fabio",1,2,2,4,164,-2
"Mazzer, Fabio",1,3,4,4,202,0
"Mazzer, Fabio",1,4,5,4,174,1
"Mazzer, Fabio",1,5,3,3,99,0
"Mazzer, Fabio",1,6,3,4,137,-1
"Mazzer, Fabio",1,7,3,3,89,0
"Mazzer, Fabio",1,8,4,3,76,1
"Mazzer, Fabio",1,9,2,5,167,-3
"Mazzer, Fabio",1,10,4,4,198,0
"Mazzer, Fabio",1,11,3,4,178,-1
"Mazzer, Fabio",1,12,6,5,216,1
"Mazzer, Fabio",1,13,3,4,273,-1
"Mazzer, Fabio",1,14,4,4,193,0
"Mazzer, Fabio",1,15,2,4,181,-2
"Mazzer, Fabio",1,16,4,4,165,0
"Mazzer, Fabio",1,17,3,4,175,-1
"Mazzer, Fabio",1,18,4,3,64,1
"Wetzel, Simon",1,1,5,5,153,0
"Wetzel, Simon",1,2,4,4,164,0
"Wetzel, Simon",1,3,5,4,202,1
"Wetzel, Simon",1,4,4,4,174,0
"Wetzel, Simon",1,5,2,3,99,-1
"Wetzel, Simon",1,6,4,4,137,0
"Wetzel, Simon",1,7,2,3,89,-1
"Wetzel, Simon",1,8,3,3,76,0
"Wetzel, Simon",1,9,5,5,167,0
"Wetzel, Simon",1,10,4,4,198,0
"Wetzel, Simon",1,11,4,4,178,0
"Wetzel, Simon",1,12,5,5,216,0
"Wetzel, Simon",1,13,3,4,273,-1
"Wetzel, Simon",1,14,3,4,193,-1
"Wetzel, Simon",1,15,3,4,181,-1
"Wetzel, Simon",1,16,6,4,165,2
"Wetzel, Simon",1,17,3,4,175,-1
"Wetzel, Simon",1,18,4,3,64,1
"Shutes, Liam",1,1,5,5,153,0
"Shutes, Liam",1,2,4,4,164,0
"Shutes, Liam",1,3,5,4,202,1
"Shutes, Liam",1,4,4,4,174,0
"Shutes, Liam",1,5,2,3,99,-1
"Shutes, Liam",1,6,4,4,137,0
"Shutes, Liam",1,7,3,3,89,0
"Shutes, Liam",1,8,3,3,76,0
"Shutes, Liam",1,9,4,5,167,-1
"Shutes, Liam",1,10,5,4,198,1
"Shutes, Liam",1,11,3,4,178,-1
"Shutes, Liam",1,12,5,5,216,0
"Shutes, Liam",1,13,4,4,273,0
"Shutes, Liam",1,14,4,4,193,0
"Shutes, Liam",1,15,4,4,181,0
"Shutes, Liam",1,16,3,4,165,-1
"Shutes, Liam",1,17,3,4,175,-1
"Shutes, Liam",1,18,3,3,64,0
"Huber, Vincent",1,1,5,5,153,0
"Huber, Vincent",1,2,5,4,164,1
"Huber, Vincent",1,3,5,4,202,1
"Huber, Vincent",1,4,4,4,174,0
"Huber, Vincent",1,5,3,3,99,0
"Huber, Vincent",1,6,4,4,137,0
"Huber, Vincent",1,7,3,3,89,0
"Huber, Vincent",1,8,3,3,76,0
"Huber, Vincent",1,9,5,5,167,0
"Huber, Vincent",1,10,3,4,198,-1
"Huber, Vincent",1,11,3,4,178,-1
"Huber, Vincent",1,12,5,5,216,0
"Huber, Vincent",1,13,4,4,273,0
"Huber, Vincent",1,14,4,4,193,0
"Huber, Vincent",1,15,4,4,181,0
"Huber, Vincent",1,16,4,4,165,0
"Huber, Vincent",1,17,4,4,175,0
"Huber, Vincent",1,18,3,3,64,0
"Benjamin, GAVANON",1,1,4,5,153,-1
"Benjamin, GAVANON",1,2,4,4,164,0
"Benjamin, GAVANON",1,3,5,4,202,1
"Benjamin, GAVANON",1,4,5,4,174,1
"Benjamin, GAVANON",1,5,3,3,99,0
"Benjamin, GAVANON",1,6,3,4,137,-1
"Benjamin, GAVANON",1,7,3,3,89,0
"Benjamin, GAVANON",1,8,4,3,76,1
"Benjamin, GAVANON",1,9,2,5,167,-3
"Benjamin, GAVANON",1,10,5,4,198,1
"Benjamin, GAVANON",1,11,2,4,178,-2
"Benjamin, GAVANON",1,12,6,5,216,1
"Benjamin, GAVANON",1,13,3,4,273,-1
"Benjamin, GAVANON",1,14,5,4,193,1
"Benjamin, GAVANON",1,15,2,4,181,-2
"Benjamin, GAVANON",1,16,4,4,165,0
"Benjamin, GAVANON",1,17,2,4,175,-2
"Benjamin, GAVANON",1,18,5,3,64,2
"Voost, Matthijs",1,1,5,5,153,0
"Voost, Matthijs",1,2,3,4,164,-1
"Voost, Matthijs",1,3,4,4,202,0
"Voost, Matthijs",1,4,4,4,174,0
"Voost, Matthijs",1,5,3,3,99,0
"Voost, Matthijs",1,6,3,4,137,-1
"Voost, Matthijs",1,7,4,3,89,1
"Voost, Matthijs",1,8,3,3,76,0
"Voost, Matthijs",1,9,4,5,167,-1
"Voost, Matthijs",1,10,3,4,198,-1
"Voost, Matthijs",1,11,3,4,178,-1
"Voost, Matthijs",1,12,5,5,216,0
"Voost, Matthijs",1,13,4,4,273,0
"Voost, Matthijs",1,14,3,4,193,-1
"Voost, Matthijs",1,15,3,4,181,-1
"Voost, Matthijs",1,16,3,4,165,-1
"Voost, Matthijs",1,17,3,4,175,-1
"Voost, Matthijs",1,18,3,3,64,0
"Menor, Piero",1,1,5,5,153,0
"Menor, Piero",1,2,4,4,164,0
"Menor, Piero",1,3,4,4,202,0
"Menor, Piero",1,4,4,4,174,0
"Menor, Piero",1,5,3,3,99,0
"Menor, Piero",1,6,4,4,137,0
"Menor, Piero",1,7,3,3,89,0
"Menor, Piero",1,8,3,3,76,0
"Menor, Piero",1,9,4,5,167,-1
"Menor, Piero",1,10,4,4,198,0
"Menor, Piero",1,11,4,4,178,0
"Menor, Piero",1,12,5,5,216,0
"Menor, Piero",1,13,4,4,273,0
"Menor, Piero",1,14,5,4,193,1
"Menor, Piero",1,15,3,4,181,-1
"Menor, Piero",1,16,4,4,165,0
"Menor, Piero",1,17,4,4,175,0
"Menor, Piero",1,18,2,3,64,-1
"Kikus, Tomas",1,1,5,5,153,0
"Kikus, Tomas",1,2,4,4,164,0
"Kikus, Tomas",1,3,5,4,202,1
"Kikus, Tomas",1,4,5,4,174,1
"Kikus, Tomas",1,5,4,3,99,1
"Kikus, Tomas",1,6,3,4,137,-1
"Kikus, Tomas",1,7,4,3,89,1
"Kikus, Tomas",1,8,4,3,76,1
"Kikus, Tomas",1,9,3,5,167,-2
"Kikus, Tomas",1,10,5,4,198,1
"Kikus, Tomas",1,11,1,4,178,-3
"Kikus, Tomas",1,12,5,5,216,0
"Kikus, Tomas",1,13,3,4,273,-1
"Kikus, Tomas",1,14,4,4,193,0
"Kikus, Tomas",1,15,2,4,181,-2
"Kikus, Tomas",1,16,4,4,165,0
"Kikus, Tomas",1,17,2,4,175,-2
"Kikus, Tomas",1,18,4,3,64,1
"Damien, Dyrdol",1,1,3,5,153,-2
"Damien, Dyrdol",1,2,3,4,164,-1
"Damien, Dyrdol",1,3,4,4,202,0
"Damien, Dyrdol",1,4,7,4,174,3
"Damien, Dyrdol",1,5,3,3,99,0
"Damien, Dyrdol",1,6,3,4,137,-1
"Damien, Dyrdol",1,7,3,3,89,0
"Damien, Dyrdol",1,8,4,3,76,1
"Damien, Dyrdol",1,9,2,5,167,-3
"Damien, Dyrdol",1,10,5,4,198,1
"Damien, Dyrdol",1,11,2,4,178,-2
"Damien, Dyrdol",1,12,5,5,216,0
"Damien, Dyrdol",1,13,4,4,273,0
"Damien, Dyrdol",1,14,4,4,193,0
"Damien, Dyrdol",1,15,3,4,181,-1
"Damien, Dyrdol",1,16,4,4,165,0
"Damien, Dyrdol",1,17,2,4,175,-2
"Damien, Dyrdol",1,18,5,3,64,2
"Aurelien, SANTILLANA",1,1,3,5,153,-2
"Aurelien, SANTILLANA",1,2,4,4,164,0
"Aurelien, SANTILLANA",1,3,5,4,202,1
"Aurelien, SANTILLANA",1,4,5,4,174,1
"Aurelien, SANTILLANA",1,5,3,3,99,0
"Aurelien, SANTILLANA",1,6,3,4,137,-1
"Aurelien, SANTILLANA",1,7,5,3,89,2
"Aurelien, SANTILLANA",1,8,4,3,76,1
"Aurelien, SANTILLANA",1,9,2,5,167,-3
"Aurelien, SANTILLANA",1,10,4,4,198,0
"Aurelien, SANTILLANA",1,11,2,4,178,-2
"Aurelien, SANTILLANA",1,12,5,5,216,0
"Aurelien, SANTILLANA",1,13,4,4,273,0
"Aurelien, SANTILLANA",1,14,4,4,193,0
"Aurelien, SANTILLANA",1,15,4,4,181,0
"Aurelien, SANTILLANA",1,16,4,4,165,0
"Aurelien, SANTILLANA",1,17,2,4,175,-2
"Aurelien, SANTILLANA",1,18,4,3,64,1
