player,round,hole,strokes,par,yds,score
"Gutiérrez López, Sergio",1,3,4,4,202,0
"Gutiérrez López, Sergio",1,4,4,4,174,0
"Gutiérrez López, Sergio",1,5,3,3,99,0
"Gutiérrez López, Sergio",1,6,4,4,137,0
"Gutiérrez López, Sergio",1,7,4,3,89,1
"Gutiérrez López, Sergio",1,8,3,3,76,0
"Gutiérrez López, Sergio",1,9,4,5,167,-1
"Gutiérrez López, Sergio",1,10,2,4,198,-2
"Gutiérrez López, Sergio",1,11,3,4,178,-1
"Gutiérrez López, Sergio",1,12,5,5,216,0
"Gutiérrez López, Sergio",1,13,5,4,273,1
"Gutiérrez López, Sergio",1,14,4,4,193,0
"Gutiérrez López, Sergio",1,15,3,4,181,-1
"Gutiérrez López, Sergio",1,16,3,4,165,-1
"Gutiérrez López, Sergio",1,17,3,4,175,-1
"Gutiérrez López, Sergio",1,18,3,3,64,0
"Yohan, VEHOSKI",1,1,4,5,153,-1
"Yohan, VEHOSKI",1,2,4,4,164,0
"Yohan, VEHOSKI",1,3,3,4,202,-1
"Yohan, VEHOSKI",1,4,4,4,174,0
"Yohan, VEHOSKI",1,5,2,3,99,-1
"Yohan, VEHOSKI",1,6,3,4,137,-1
"Yohan, VEHOSKI",1,7,4,3,89,1
"Yohan, VEHOSKI",1,8,3,3,76,0
"Yohan, VEHOSKI",1,9,4,5,167,-1
"Yohan, VEHOSKI",1,10,4,4,198,0
"Yohan, VEHOSKI",1,11,6,4,178,2
"Yohan, VEHOSKI",1,12,5,5,216,0
"Yohan, VEHOSKI",1,13,4,4,273,0
"Yohan, VEHOSKI",1,14,4,4,193,0
"Yohan, VEHOSKI",1,15,3,4,181,-1
"Yohan, VEHOSKI",1,16,4,4,165,0
"Yohan, VEHOSKI",1,17,5,4,175,1
"Yohan, VEHOSKI",1,18,2,3,64,-1
"David, Thomas",1,1,4,5,153,-1
"David, Thomas",1,2,4,4,164,0
"David, Thomas",1,3,4,4,202,0
"David, Thomas",1,4,5,4,174,1
"David, Thomas",1,5,2,3,99,-1
"David, Thomas",1,6,3,4,137,-1
"David, Thomas",1,7,3,3,89,0
"David, Thomas",1,8,4,3,76,1
"David, Thomas",1,9,2,5,167,-3
"David, Thomas",1,10,3,4,198,-1
"David, Thomas",1,11,2,4,178,-2
"David, Thomas",1,12,8,5,216,3
"David, Thomas",1,13,4,4,273,0
"David, Thomas",1,14,4,4,193,0
"David, Thomas",1,15,3,4,181,-1
"David, Thomas",1,16,3,4,165,-1
"David, Thomas",1,17,3,4,175,-1
"David, Thomas",1,18,3,3,64,0
"LANGEROME, Guillaume",1,1,4,5,153,-1
"LANGEROME, Guillaume",1,2,4,4,164,0
"LANGEROME, Guillaume",1,3,4,4,202,0
"LANGEROME, Guillaume",1,4,4,4,174,0
"LANGEROME, Guillaume",1,5,3,3,99,0
"LANGEROME, Guillaume",1,6,3,4,137,-1
"LANGEROME, Guillaume",1,7,4,3,89,1
"LANGEROME, Guillaume",1,8,4,3,76,1
"LANGEROME, Guillaume",1,9,2,5,167,-3
"LANGEROME, Guillaume",1,10,5,4,198,1
"LANGEROME, Guillaume",1,11,1,4,178,-3
"LANGEROME, Guillaume",1,12,6,5,216,1
"LANGEROME, Guillaume",1,13,4,4,273,0
"LANGEROME, Guillaume",1,14,3,4,193,-1
"LANGEROME, Guillaume",1,15,2,4,181,-2
"LANGEROME, Guillaume",1,16,4,4,165,0
"LANGEROME, Guillaume",1,17,4,4,175,0
"LANGEROME, Guillaume",1,18,4,3,64,1
"Mickael, Lampenois",1,1,4,5,153,-1
"Mickael, Lampenois",1,2,5,4,164,1
"Mickael, Lampenois",1,3,5,4,202,1
"Mickael, Lampenois",1,4,6,4,174,2
"Mickael, Lampenois",1,5,2,3,99,-1
"Mickael, Lampenois",1,6,3,4,137,-1
"Mickael, Lampenois",1,7,3,3,89,0
"Mickael, Lampenois",1,8,4,3,76,1
"Mickael, Lampenois",1,9,2,5,167,-3
"Mickael, Lampenois",1,10,6,4,198,2
"Mickael, Lampenois",1,11,2,4,178,-2
"Mickael, Lampenois",1,12,6,5,216,1
"Mickael, Lampenois",1,13,4,4,273,0
"Mickael, Lampenois",1,14,3,4,193,-1
"Mickael, Lampenois",1,15,2,4,181,-2
"Mickael, Lampenois",1,16,4,4,165,0
"Mickael, Lampenois",1,17,3,4,175,-1
"Mickael, Lampenois",1,18,4,3,64,1
"Bartko, Tomas",1,1,6,5,153,1
"Bartko, Tomas",1,2,4,4,164,0
"Bartko, Tomas",1,3,4,4,202,0
"Bartko, Tomas",1,4,4,4,174,0
"Bartko, Tomas",1,5,2,3,99,-1
"Bartko, Tomas",1,6,3,4,137,-1
"Bartko, Tomas",1,7,3,3,89,0
"Bartko, Tomas",1,8,3,3,76,0
"Bartko, Tomas",1,9,4,5,167,-1
"Bartko, Tomas",1,10,4,4,198,0
"Bartko, Tomas",1,11,3,4,178,-1
"Bartko, Tomas",1,12,5,5,216,0
"Bartko, Tomas",1,13,4,4,273,0
"Bartko, Tomas",1,14,4,4,193,0
"Bartko, Tomas",1,15,3,4,181,-1
"Bartko, Tomas",1,16,5,4,165,1
"Bartko, Tomas",1,17,4,4,175,0
"Bartko, Tomas",1,18,3,3,64,0
"Geoffroy, DOMENECH",1,1,5,5,153,0
"Geoffroy, DOMENECH",1,2,4,4,164,0
"Geoffroy, DOMENECH",1,3,4,4,202,0
"Geoffroy, DOMENECH",1,4,5,4,174,1
"Geoffroy, DOMENECH",1,5,3,3,99,0
"Geoffroy, DOMENECH",1,6,3,4,137,-1
"Geoffroy, DOMENECH",1,7,3,3,89,0
"Geoffroy, DOMENECH",1,8,4,3,76,1
"Geoffroy, DOMENECH",1,9,3,5,167,-2
"Geoffroy, DOMENECH",1,10,6,4,198,2
"Geoffroy, DOMENECH",1,11,2,4,178,-2
"Geoffroy, DOMENECH",1,12,6,5,216,1
"Geoffroy, DOMENECH",1,13,3,4,273,-1
"Geoffroy, DOMENECH",1,14,3,4,193,-1
"Geoffroy, DOMENECH",1,15,3,4,181,-1
"Geoffroy, DOMENECH",1,16,5,4,165,1
"Geoffroy, DOMENECH",1,17,3,4,175,-1
"Geoffroy, DOMENECH",1,18,4,3,64,1
"Christophe, FREJUS",1,1,4,5,153,-1
"Christophe, FREJUS",1,2,5,4,164,1
"Christophe, FREJUS",1,3,5,4,202,1
"Christophe, FREJUS",1,4,4,4,174,0
"Christophe, FREJUS",1,5,3,3,99,0
"Christophe, FREJUS",1,6,3,4,137,-1
"Christophe, FREJUS",1,7,3,3,89,0
"Christophe, FREJUS",1,8,4,3,76,1
"Christophe, FREJUS",1,9,3,5,167,-2
"Christophe, FREJUS",1,10,6,4,198,2
"Christophe, FREJUS",1,11,2,4,178,-2
"Christophe, FREJUS",1,12,4,5,216,-1
"Christophe, FREJUS",1,13,4,4,273,0
"Christophe, FREJUS",1,14,3,4,193,-1
"Christophe, FREJUS",1,15,2,4,181,-2
"Christophe, FREJUS",1,16,4,4,165,0
"Christophe, FREJUS",1,17,3,4,175,-1
"Christophe, FREJUS",1,18,5,3,64,2
"David, MERCIER",1,1,5,5,153,0
"David, MERCIER",1,2,5,4,164,1
"David, MERCIER",1,3,3,4,202,-1
"David, MERCIER",1,4,4,4,174,0
"David, MERCIER",1,5,3,3,99,0
"David, MERCIER",1,6,4,4,137,0
"David, MERCIER",1,7,3,3,89,0
"David, MERCIER",1,8,3,3,76,0
"David, MERCIER",1,9,4,5,167,-1
"David, MERCIER",1,10,3,4,198,-1
"David, MERCIER",1,11,4,4,178,0
"David, MERCIER",1,12,5,5,216,0
"David, MERCIER",1,13,4,4,273,0
"David, MERCIER",1,14,3,4,193,-1
"David, MERCIER",1,15,3,4,181,-1
"David, MERCIER",1,16,3,4,165,-1
"David, MERCIER",1,17,4,4,175,0
"David, MERCIER",1,18,4,3,64,1
"Mohamed , BICER",1,1,5,5,153,0
"Mohamed , BICER",1,2,3,4,164,-1
"Mohamed , BICER",1,3,4,4,202,0
"Mohamed , BICER",1,4,4,4,174,0
"Mohamed , BICER",1,5,4,3,99,1
"Mohamed , BICER",1,6,3,4,137,-1
"Mohamed , BICER",1,7,3,3,89,0
"Mohamed , BICER",1,8,4,3,76,1
"Mohamed , BICER",1,9,2,5,167,-3
"Mohamed , BICER",1,10,5,4,198,1
"Mohamed , BICER",1,11,2,4,178,-2
"Mohamed , BICER",1,12,6,5,216,1
"Mohamed , BICER",1,13,3,4,273,-1
"Mohamed , BICER",1,14,5,4,193,1
"Mohamed , BICER",1,15,2,4,181,-2
"Mohamed , BICER",1,16,5,4,165,1
"Mohamed , BICER",1,17,3,4,175,-1
"Mohamed , BICER",1,18,6,3,64,3
"Gregory, PILLIER",1,1,4,5,153,-1
"Gregory, PILLIER",1,2,4,4,164,0
"Gregory, PILLIER",1,3,3,4,202,-1
"Gregory, PILLIER",1,4,6,4,174,2
"Gregory, PILLIER",1,5,3,3,99,0
"Gregory, PILLIER",1,6,3,4,137,-1
"Gregory, PILLIER",1,7,3,3,89,0
"Gregory, PILLIER",1,8,4,3,76,1
"Gregory, PILLIER",1,9,2,5,167,-3
"Gregory, PILLIER",1,10,5,4,198,1
"Gregory, PILLIER",1,11,3,4,178,-1
"Gregory, PILLIER",1,12,6,5,216,1
"Gregory, PILLIER",1,13,5,4,273,1
"Gregory, PILLIER",1,14,3,4,193,-1
"Gregory, PILLIER",1,15,2,4,181,-2
"Gregory, PILLIER",1,16,5,4,165,1
"Gregory, PILLIER",1,17,3,4,175,-1
"Gregory, PILLIER",1,18,4,3,64,1
"Nicolas, PUSSINI",1,1,5,5,153,0
"Nicolas, PUSSINI",1,2,4,4,164,0
"Nicolas, PUSSINI",1,3,4,4,202,0
"Nicolas, PUSSINI",1,4,4,4,174,0
"Nicolas, PUSSINI",1,5,3,3,99,0
"Nicolas, PUSSINI",1,6,4,4,137,0
"Nicolas, PUSSINI",1,7,3,3,89,0
"Nicolas, PUSSINI",1,8,3,3,76,0
"Nicolas, PUSSINI",1,9,4,5,167,-1
"Nicolas, PUSSINI",1,10,3,4,198,-1
"Nicolas, PUSSINI",1,11,4,4,178,0
"Nicolas, PUSSINI",1,12,5,5,216,0
"Nicolas, PUSSINI",1,13,4,4,273,0
"Nicolas, PUSSINI",1,14,6,4,193,2
"Nicolas, PUSSINI",1,15,4,4,181,0
"Nicolas, PUSSINI",1,16,3,4,165,-1
"Nicolas, PUSSINI",1,17,4,4,175,0
"Nicolas, PUSSINI",1,18,3,3,64,0
"Tabet, El Mrabti",1,1,4,5,153,-1
"Tabet, El Mrabti",1,2,4,4,164,0
"Tabet, El Mrabti",1,3,5,4,202,1
"Tabet, El Mrabti",1,4,7,4,174,3
"Tabet, El Mrabti",1,5,2,3,99,-1
"Tabet, El Mrabti",1,6,4,4,137,0
"Tabet, El Mrabti",1,7,3,3,89,0
"Tabet, El Mrabti",1,8,4,3,76,1
"Tabet, El Mrabti",1,9,2,5,167,-3
"Tabet, El Mrabti",1,10,5,4,198,1
"Tabet, El Mrabti",1,11,4,4,178,0
"Tabet, El Mrabti",1,12,6,5,216,1
"Tabet, El Mrabti",1,13,4,4,273,0
"Tabet, El Mrabti",1,14,4,4,193,0
"Tabet, El Mrabti",1,15,2,4,181,-2
"Tabet, El Mrabti",1,16,5,4,165,1
"Tabet, El Mrabti",1,17,2,4,175,-2
"Tabet, El Mrabti",1,18,6,3,64,3
"PODVIN, Benjamin",1,1,5,5,153,0
"PODVIN, Benjamin",1,2,4,4,164,0
"PODVIN, Benjamin",1,3,4,4,202,0
"PODVIN, Benjamin",1,4,4,4,174,0
"PODVIN, Benjamin",1,5,2,3,99,-1
"PODVIN, Benjamin",1,6,4,4,137,0
"PODVIN, Benjamin",1,7,3,3,89,0
"PODVIN, Benjamin",1,8,3,3,76,0
"PODVIN, Benjamin",1,9,4,5,167,-1
"PODVIN, Benjamin",1,10,6,4,198,2
"PODVIN, Benjamin",1,11,3,4,178,-1
"PODVIN, Benjamin",1,12,5,5,216,0
"PODVIN, Benjamin",1,13,4,4,273,0
"PODVIN, Benjamin",1,14,4,4,193,0
"PODVIN, Benjamin",1,15,3,4,181,-1
"PODVIN, Benjamin",1,16,5,4,165,1
"PODVIN, Benjamin",1,17,3,4,175,-1
"PODVIN, Benjamin",1,18,3,3,64,0
"Christophe, LECOQ",1,1,5,5,153,0
"Christophe, LECOQ",1,2,4,4,164,0
"Christophe, LECOQ",1,3,4,4,202,0
"Christophe, LECOQ",1,4,4,4,174,0
"Christophe, LECOQ",1,5,3,3,99,0
"Christophe, LECOQ",1,6,3,4,137,-1
"Christophe, LECOQ",1,7,3,3,89,0
"Christophe, LECOQ",1,8,3,3,76,0
"Christophe, LECOQ",1,9,5,5,167,0
"Christophe, LECOQ",1,10,6,4,198,2
"Christophe, LECOQ",1,11,4,4,178,0
"Christophe, LECOQ",1,12,5,5,216,0
"Christophe, LECOQ",1,13,4,4,273,0
"Christophe, LECOQ",1,14,4,4,193,0
"Christophe, LECOQ",1,15,3,4,181,-1
"Christophe, LECOQ",1,16,3,4,165,-1
"Christophe, LECOQ",1,17,5,4,175,1
"Christophe, LECOQ",1,18,2,3,64,-1
"Godoy Márquez, Iván",1,1,6,5,153,1
"Godoy Márquez, Iván",1,2,4,4,164,0
"Godoy Márquez, Iván",1,3,4,4,202,0
"Godoy Márquez, Iván",1,4,4,4,174,0
"Godoy Márquez, Iván",1,5,3,3,99,0
"Godoy Márquez, Iván",1,6,3,4,137,-1
"Godoy Márquez, Iván",1,7,5,3,89,2
"Godoy Márquez, Iván",1,8,3,3,76,0
"Godoy Márquez, Iván",1,9,4,5,167,-1
"Godoy Márquez, Iván",1,10,4,4,198,0
"Godoy Márquez, Iván",1,11,3,4,178,-1
"Godoy Márquez, Iván",1,12,5,5,216,0
"Godoy Márquez, Iván",1,13,4,4,273,0
"Godoy Márquez, Iván",1,14,3,4,193,-1
"Godoy Márquez, Iván",1,15,5,4,181,1
"Godoy Márquez, Iván",1,16,4,4,165,0
"Godoy Márquez, Iván",1,17,4,4,175,0
"Godoy Márquez, Iván",1,18,2,3,64,-1
"György, Podusil",1,1,4,5,153,-1
"György, Podusil",1,2,3,4,164,-1
"György, Podusil",1,3,4,4,202,0
"György, Podusil",1,4,6,4,174,2
"György, Podusil",1,5,3,3,99,0
"György, Podusil",1,6,5,4,137,1
"György, Podusil",1,7,4,3,89,1
"György, Podusil",1,8,4,3,76,1
"György, Podusil",1,9,4,5,167,-1
"György, Podusil",1,10,4,4,198,0
"György, Podusil",1,11,2,4,178,-2
"György, Podusil",1,12,6,5,216,1
"György, Podusil",1,13,3,4,273,-1
"György, Podusil",1,14,4,4,193,0
"György, Podusil",1,15,3,4,181,-1
"György, Podusil",1,16,4,4,165,0
"György, Podusil",1,17,2,4,175,-2
"György, Podusil",1,18,5,3,64,2
"Joeri, Jolling",1,1,4,5,153,-1
"Joeri, Jolling",1,2,4,4,164,0
"Joeri, Jolling",1,3,5,4,202,1
"Joeri, Jolling",1,4,7,4,174,3
"Joeri, Jolling",1,5,6,3,99,3
"Joeri, Jolling",1,6,3,4,137,-1
"Joeri, Jolling",1,7,3,3,89,0
"Joeri, Jolling",1,8,4,3,76,1
"Joeri, Jolling",1,9,2,5,167,-3
"Joeri, Jolling",1,10,3,4,198,-1
"Joeri, Jolling",1,11,2,4,178,-2
"Joeri, Jolling",1,12,7,5,216,2
"Joeri, Jolling",1,13,3,4,273,-1
"Joeri, Jolling",1,14,4,4,193,0
"Joeri, Jolling",1,15,2,4,181,-2
"Joeri, Jolling",1,16,4,4,165,0
"Joeri, Jolling",1,17,3,4,175,-1
"Joeri, Jolling",1,18,5,3,64,2
"Azenha, Flávio",1,1,5,5,153,0
"Azenha, Flávio",1,2,4,4,164,0
"Azenha, Flávio",1,3,5,4,202,1
"Azenha, Flávio",1,4,4,4,174,0
"Azenha, Flávio",1,5,4,3,99,1
"Azenha, Flávio",1,6,5,4,137,1
"Azenha, Flávio",1,7,3,3,89,0
"Azenha, Flávio",1,8,3,3,76,0
"Azenha, Flávio",1,9,5,5,167,0
"Azenha, Flávio",1,10,7,4,198,3
"Azenha, Flávio",1,11,3,4,178,-1
"Azenha, Flávio",1,12,5,5,216,0
"Azenha, Flávio",1,13,3,4,273,-1
"Azenha, Flávio",1,14,3,4,193,-1
"Azenha, Flávio",1,15,3,4,181,-1
"Azenha, Flávio",1,16,7,4,165,3
"Azenha, Flávio",1,17,4,4,175,0
"Azenha, Flávio",1,18,4,3,64,1
"Stephane, BAYLE",1,1,4,5,153,-1
"Stephane, BAYLE",1,2,3,4,164,-1
"Stephane, BAYLE",1,3,4,4,202,0
"Stephane, BAYLE",1,4,5,4,174,1
"Stephane, BAYLE",1,5,4,3,99,1
"Stephane, BAYLE",1,6,3,4,137,-1
"Stephane, BAYLE",1,7,3,3,89,0
"Stephane, BAYLE",1,8,4,3,76,1
"Stephane, BAYLE",1,9,3,5,167,-2
"Stephane, BAYLE",1,10,6,4,198,2
"Stephane, BAYLE",1,11,3,4,178,-1
"Stephane, BAYLE",1,12,6,5,216,1
"Stephane, BAYLE",1,13,4,4,273,0
"Stephane, BAYLE",1,14,4,4,193,0
"Stephane, BAYLE",1,15,2,4,181,-2
"Stephane, BAYLE",1,16,4,4,165,0
"Stephane, BAYLE",1,17,2,4,175,-2
"Stephane, BAYLE",1,18,5,3,64,2
"Laurent, GUENAIRE",1,1,4,5,153,-1
"Laurent, GUENAIRE",1,2,4,4,164,0
"Laurent, GUENAIRE",1,3,5,4,202,1
"Laurent, GUENAIRE",1,4,4,4,174,0
"Laurent, GUENAIRE",1,5,3,3,99,0
"Laurent, GUENAIRE",1,6,3,4,137,-1
"Laurent, GUENAIRE",1,7,3,3,89,0
"Laurent, GUENAIRE",1,8,4,3,76,1
"Laurent, GUENAIRE",1,9,3,5,167,-2
"Laurent, GUENAIRE",1,10,6,4,198,2
"Laurent, GUENAIRE",1,11,2,4,178,-2
"Laurent, GUENAIRE",1,12,5,5,216,0
"Laurent, GUENAIRE",1,13,4,4,273,0
"Laurent, GUENAIRE",1,14,6,4,193,2
"Laurent, GUENAIRE",1,15,2,4,181,-2
"Laurent, GUENAIRE",1,16,4,4,165,0
"Laurent, GUENAIRE",1,17,3,4,175,-1
"Laurent, GUENAIRE",1,18,5,3,64,2
"Alexandre, RICHER",1,1,4,5,153,-1
"Alexandre, RICHER",1,2,5,4,164,1
"Alexandre, RICHER",1,3,4,4,202,0
"Alexandre, RICHER",1,4,4,4,174,0
"Alexandre, RICHER",1,5,3,3,99,0
"Alexandre, RICHER",1,6,4,4,137,0
"Alexandre, RICHER",1,7,3,3,89,0
"Alexandre, RICHER",1,8,3,3,76,0
"Alexandre, RICHER",1,9,4,5,167,-1
"Alexandre, RICHER",1,10,5,4,198,1
"Alexandre, RICHER",1,11,4,4,178,0
"Alexandre, RICHER",1,12,5,5,216,0
"Alexandre, RICHER",1,13,3,4,273,-1
"Alexandre, RICHER",1,14,4,4,193,0
"Alexandre, RICHER",1,15,4,4,181,0
"Alexandre, RICHER",1,16,4,4,165,0
"Alexandre, RICHER",1,17,4,4,175,0
"Alexandre, RICHER",1,18,3,3,64,0
"Yohann, DEWILDE",1,1,5,5,153,0
"Yohann, DEWILDE",1,2,4,4,164,0
"Yohann, DEWILDE",1,3,4,4,202,0
"Yohann, DEWILDE",1,4,4,4,174,0
"Yohann, DEWILDE",1,5,3,3,99,0
"Yohann, DEWILDE",1,6,4,4,137,0
"Yohann, DEWILDE",1,7,2,3,89,-1
"Yohann, DEWILDE",1,8,3,3,76,0
"Yohann, DEWILDE",1,9,5,5,167,0
"Yohann, DEWILDE",1,10,3,4,198,-1
"Yohann, DEWILDE",1,11,4,4,178,0
"Yohann, DEWILDE",1,12,5,5,216,0
"Yohann, DEWILDE",1,13,5,4,273,1
"Yohann, DEWILDE",1,14,5,4,193,1
"Yohann, DEWILDE",1,15,3,4,181,-1
"Yohann, DEWILDE",1,16,4,4,165,0
"Yohann, DEWILDE",1,17,5,4,175,1
"Yohann, DEWILDE",1,18,4,3,64,1
"Christopher, POU",1,1,3,5,153,-2
"Christopher, POU",1,2,2,4,164,-2
"Christopher, POU",1,3,5,4,202,1
"Christopher, POU",1,4,5,4,174,1
"Christopher, POU",1,5,4,3,99,1
"Christopher, POU",1,6,3,4,137,-1
"Christopher, POU",1,7,5,3,89,2
"Christopher, POU",1,8,4,3,76,1
"Christopher, POU",1,9,2,5,167,-3
"Christopher, POU",1,10,5,4,198,1
"Christopher, POU",1,11,2,4,178,-2
"Christopher, POU",1,12,6,5,216,1
"Christopher, POU",1,13,3,4,273,-1
"Christopher, POU",1,14,4,4,193,0
"Christopher, POU",1,15,2,4,181,-2
"Christopher, POU",1,16,5,4,165,1
"Christopher, POU",1,17,2,4,175,-2
"Christopher, POU",1,18,5,3,64,2
"Clément, RIGAUD",1,1,6,5,153,1
"Clément, RIGAUD",1,2,4,4,164,0
"Clément, RIGAUD",1,3,6,4,202,2
"Clément, RIGAUD",1,4,5,4,174,1
"Clément, RIGAUD",1,5,3,3,99,0
"Clément, RIGAUD",1,6,4,4,137,0
"Clément, RIGAUD",1,7,3,3,89,0
"Clément, RIGAUD",1,8,4,3,76,1
"Clément, RIGAUD",1,9,2,5,167,-3
"Clément, RIGAUD",1,10,6,4,198,2
"Clément, RIGAUD",1,11,1,4,178,-3
"Clément, RIGAUD",1,12,7,5,216,2
"Clément, RIGAUD",1,13,3,4,273,-1
"Clément, RIGAUD",1,14,4,4,193,0
"Clément, RIGAUD",1,15,2,4,181,-2
"Clément, RIGAUD",1,16,4,4,165,0
"Clément, RIGAUD",1,17,2,4,175,-2
"Clément, RIGAUD",1,18,6,3,64,3
"Nicolas, CAILLE",1,1,4,5,153,-1
"Nicolas, CAILLE",1,2,4,4,164,0
"Nicolas, CAILLE",1,3,5,4,202,1
"Nicolas, CAILLE",1,4,4,4,174,0
"Nicolas, CAILLE",1,5,3,3,99,0
"Nicolas, CAILLE",1,6,4,4,137,0
"Nicolas, CAILLE",1,7,3,3,89,0
"Nicolas, CAILLE",1,8,4,3,76,1
"Nicolas, CAILLE",1,9,3,5,167,-2
"Nicolas, CAILLE",1,10,6,4,198,2
"Nicolas, CAILLE",1,11,2,4,178,-2
"Nicolas, CAILLE",1,12,5,5,216,0
"Nicolas, CAILLE",1,13,6,4,273,2
"Nicolas, CAILLE",1,14,4,4,193,0
"Nicolas, CAILLE",1,15,3,4,181,-1
"Nicolas, CAILLE",1,16,4,4,165,0
"Nicolas, CAILLE",1,17,2,4,175,-2
"Nicolas, CAILLE",1,18,6,3,64,3
"Franck, MORGE",1,1,4,5,153,-1
"Franck, MORGE",1,2,4,4,164,0
"Franck, MORGE",1,3,3,4,202,-1
"Franck, MORGE",1,4,5,4,174,1
"Franck, MORGE",1,5,3,3,99,0
"Franck, MORGE",1,6,3,4,137,-1
"Franck, MORGE",1,7,3,3,89,0
"Franck, MORGE",1,8,4,3,76,1
"Franck, MORGE",1,9,2,5,167,-3
"Franck, MORGE",1,10,4,4,198,0
"Franck, MORGE",1,11,3,4,178,-1
"Franck, MORGE",1,12,6,5,216,1
"Franck, MORGE",1,13,4,4,273,0
"Franck, MORGE",1,14,5,4,193,1
"Franck, MORGE",1,15,2,4,181,-2
"Franck, MORGE",1,16,4,4,165,0
"Franck, MORGE",1,17,3,4,175,-1
"Franck, MORGE",1,18,6,3,64,3
"Tammaro, Daniel",1,1,5,5,153,0
"Tammaro, Daniel",1,2,4,4,164,0
"Tammaro, Daniel",1,3,6,4,202,2
"Tammaro, Daniel",1,4,7,4,174,3
"Tammaro, Daniel",1,5,3,3,99,0
"Tammaro, Daniel",1,6,3,4,137,-1
"Tammaro, Daniel",1,7,3,3,89,0
"Tammaro, Daniel",1,8,4,3,76,1
"Tammaro, Daniel",1,9,2,5,167,-3
"Tammaro, Daniel",1,10,7,4,198,3
"Tammaro, Daniel",1,11,1,4,178,-3
"Tammaro, Daniel",1,12,6,5,216,1
"Tammaro, Daniel",1,13,4,4,273,0
"Tammaro, Daniel",1,14,4,4,193,0
"Tammaro, Daniel",1,15,2,4,181,-2
"Tammaro, Daniel",1,16,5,4,165,1
"Tammaro, Daniel",1,17,3,4,175,-1
"Tammaro, Daniel",1,18,5,3,64,2
"van Rookhuizen, Thijs",1,1,4,5,153,-1
"van Rookhuizen, Thijs",1,2,4,4,164,0
"van Rookhuizen, Thijs",1,3,4,4,202,0
"van Rookhuizen, Thijs",1,4,4,4,174,0
"van Rookhuizen, Thijs",1,5,3,3,99,0
"van Rookhuizen, Thijs",1,6,3,4,137,-1
"van Rookhuizen, Thijs",1,7,5,3,89,2
"van Rookhuizen, Thijs",1,8,3,3,76,0
"van Rookhuizen, Thijs",1,9,4,5,167,-1
"van Rookhuizen, Thijs",1,10,3,4,198,-1
"van Rookhuizen, Thijs",1,11,3,4,178,-1
"van Rookhuizen, Thijs",1,12,5,5,216,0
"van Rookhuizen, Thijs",1,13,4,4,273,0
"van Rookhuizen, Thijs",1,14,7,4,193,3
"van Rookhuizen, Thijs",1,15,3,4,181,-1
"van Rookhuizen, Thijs",1,16,4,4,165,0
"van Rookhuizen, Thijs",1,17,4,4,175,0
"van Rookhuizen, Thijs",1,18,7,3,64,4
"van Bracht, Sam",1,1,4,5,153,-1
"van Bracht, Sam",1,2,4,4,164,0
"van Bracht, Sam",1,3,7,4,202,3
"van Bracht, Sam",1,4,5,4,174,1
"van Bracht, Sam",1,5,3,3,99,0
"van Bracht, Sam",1,6,3,4,137,-1
"van Bracht, Sam",1,7,4,3,89,1
"van Bracht, Sam",1,8,4,3,76,1
"van Bracht, Sam",1,9,4,5,167,-1
"van Bracht, Sam",1,10,5,4,198,1
"van Bracht, Sam",1,11,2,4,178,-2
"van Bracht, Sam",1,12,6,5,216,1
"van Bracht, Sam",1,13,4,4,273,0
"van Bracht, Sam",1,14,3,4,193,-1
"van Bracht, Sam",1,15,3,4,181,-1
"van Bracht, Sam",1,16,4,4,165,0
"van Bracht, Sam",1,17,3,4,175,-1
"van Bracht, Sam",1,18,4,3,64,1
"Scotchford, Mark",1,1,5,5,153,0
"Scotchford, Mark",1,2,4,4,164,0
"Scotchford, Mark",1,3,7,4,202,3
"Scotchford, Mark",1,4,4,4,174,0
"Scotchford, Mark",1,5,3,3,99,0
"Scotchford, Mark",1,6,4,4,137,0
"Scotchford, Mark",1,7,4,3,89,1
"Scotchford, Mark",1,8,3,3,76,0
"Scotchford, Mark",1,9,4,5,167,-1
"Scotchford, Mark",1,10,4,4,198,0
"Scotchford, Mark",1,11,4,4,178,0
"Scotchford, Mark",1,12,5,5,216,0
"Scotchford, Mark",1,13,4,4,273,0
"Scotchford, Mark",1,14,4,4,193,0
"Scotchford, Mark",1,15,5,4,181,1
"Scotchford, Mark",1,16,4,4,165,0
"Scotchford, Mark",1,17,5,4,175,1
"Scotchford, Mark",1,18,3,3,64,0
"Sandoval, Guillermo",1,1,5,5,153,0
"Sandoval, Guillermo",1,2,4,4,164,0
"Sandoval, Guillermo",1,3,4,4,202,0
"Sandoval, Guillermo",1,4,7,4,174,3
"Sandoval, Guillermo",1,5,3,3,99,0
"Sandoval, Guillermo",1,6,4,4,137,0
"Sandoval, Guillermo",1,7,4,3,89,1
"Sandoval, Guillermo",1,8,4,3,76,1
"Sandoval, Guillermo",1,9,2,5,167,-3
"Sandoval, Guillermo",1,10,6,4,198,2
"Sandoval, Guillermo",1,11,2,4,178,-2
"Sandoval, Guillermo",1,12,6,5,216,1
"Sandoval, Guillermo",1,13,3,4,273,-1
"Sandoval, Guillermo",1,14,4,4,193,0
"Sandoval, Guillermo",1,15,2,4,181,-2
"Sandoval, Guillermo",1,16,5,4,165,1
"Sandoval, Guillermo",1,17,2,4,175,-2
